"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/26/2024 11:18:31:264 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"241","1","1","0.5","no-visualization","500","300","500","1","3.546","0.24877014279329082","true"
"240","10","1","0.4","no-visualization","500","300","500","2.302","3.716","0.4136409615985018","true"
"242","2","1","0.5","no-visualization","500","300","500","1.34","3.732","0.41774556030795557","true"
"244","4","1","0.5","no-visualization","500","300","500","1.552","3.636","0.45097608150007373","true"
"243","3","1","0.5","no-visualization","500","300","500","1.506","3.786","0.44148028442146087","true"
"246","6","1","0.5","no-visualization","500","300","500","1.848","3.702","0.4515987228098189","true"
"245","5","1","0.5","no-visualization","500","300","500","1.694","3.624","0.44949677568830365","true"
"247","7","1","0.5","no-visualization","500","300","500","1.966","3.73","0.4553132106677694","true"
"248","8","1","0.5","no-visualization","500","300","500","2.136","3.736","0.4674655247958574","true"
"249","9","1","0.5","no-visualization","500","300","500","2.21","3.686","0.46770922239440493","true"
"250","10","1","0.5","no-visualization","500","300","500","2.414","3.752","0.4600247183979979","true"
"252","2","1","0.6","no-visualization","500","300","500","1.426","3.78","0.43243687005783094","true"
"251","1","1","0.6","no-visualization","500","300","500","1","3.796","0.2626292588675883","true"
"253","3","1","0.6","no-visualization","500","300","500","1.556","3.74","0.46434285946363085","true"
"254","4","1","0.6","no-visualization","500","300","500","1.68","3.684","0.46759246138585836","true"
"255","5","1","0.6","no-visualization","500","300","500","1.796","3.822","0.46802977633127874","true"
"256","6","1","0.6","no-visualization","500","300","500","1.85","3.636","0.47824694028576287","true"
"258","8","1","0.6","no-visualization","500","300","500","2.036","3.656","0.48152634202617817","true"
"257","7","1","0.6","no-visualization","500","300","500","1.994","3.742","0.4829115904515387","true"
"262","2","1","0.7","no-visualization","500","300","500","1.474","3.642","0.435301749500434","true"
"263","3","1","0.7","no-visualization","500","300","500","1.586","3.696","0.45208858163620674","true"
"259","9","1","0.6","no-visualization","500","300","500","2","3.624","0.47223187987294246","true"
"261","1","1","0.7","no-visualization","500","300","500","1","3.526","0.25063501987428566","true"
"260","10","1","0.6","no-visualization","500","300","500","2.39","3.766","0.4834799049548825","true"
"265","5","1","0.7","no-visualization","500","300","500","1.736","3.596","0.4566187140563329","true"
"264","4","1","0.7","no-visualization","500","300","500","1.688","3.7","0.45107010129122016","true"
"266","6","1","0.7","no-visualization","500","300","500","1.86","3.676","0.4741352438483232","true"
"267","7","1","0.7","no-visualization","500","300","500","1.95","3.73","0.4756399732381211","true"
"268","8","1","0.7","no-visualization","500","300","500","2.084","3.828","0.4704283549783557","true"
"269","9","1","0.7","no-visualization","500","300","500","2.304","3.498","0.4812312039123488","true"
"270","10","1","0.7","no-visualization","500","300","500","2.334","3.59","0.49211722945577524","true"
