"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/25/2024 22:08:12:429 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"284","4","1","1.25","no-visualization","500","300","500","1.8","3.538","0.45753142599684576","true"
"285","5","1","1.25","no-visualization","500","300","500","1.912","3.712","0.470679595836197","true"
"286","6","1","1.25","no-visualization","500","300","500","2.072","3.586","0.49413738282714664","true"
"287","7","1","1.25","no-visualization","500","300","500","2.02","3.508","0.4827593188456021","true"
"288","8","1","1.25","no-visualization","500","300","500","2.156","3.748","0.47517244186638147","true"
"289","9","1","1.25","no-visualization","500","300","500","2.19","3.578","0.4777425093280074","true"
"290","10","1","1.25","no-visualization","500","300","500","2.356","3.614","0.4894418735602763","true"
"291","1","1","1.5","no-visualization","500","300","500","1","3.462","0.34672539546290604","true"
"292","2","1","1.5","no-visualization","500","300","500","1.422","3.726","0.354495147553971","true"
"293","3","1","1.5","no-visualization","500","300","500","1.838","3.806","0.47305086618523357","true"
"294","4","1","1.5","no-visualization","500","300","500","2.016","3.852","0.49428882207719194","true"
"295","5","1","1.5","no-visualization","500","300","500","2.06","3.768","0.49318567507985805","true"
"296","6","1","1.5","no-visualization","500","300","500","2.184","3.706","0.5030769991755972","true"
"297","7","1","1.5","no-visualization","500","300","500","2.252","3.672","0.525908431931908","true"
"299","9","1","1.5","no-visualization","500","300","500","2.344","3.756","0.5147558780568249","true"
